Date,Open,High,Low,Close,Volume,Market Cap
Jun-26-2021,31664.79,32618.31,30193.54,31858.58,68428884823,589940076930
Jun-25-2021,34662.83,35441.65,31355.44,31708.51,60748465088,625649652814
Jun-24-2021,33612.34,35176.73,32324.01,34580.35,60517323380,631375005550
Jun-23-2021,32470.84,34720.77,31769.26,33646.15,96666188116,632330156621
Jun-22-2021,31694.01,33282.27,28899.97,32366.97,97091051263,599557521030
Jun-21-2021,35677.33,35677.33,31297.75,31606.39,78609740782,621632197017
Jun-20-2021,35548.68,35906.57,33457.08,35648.52,55193357753,657157712382
Jun-19-2021,35727.16,36292.91,34857.74,35635.38,62826737678,669780574180
Jun-18-2021,38026.05,38128.36,35220.88,35577.47,61575865500,693100773044
Jun-17-2021,38340.49,39522.52,37537.71,38082.08,69040871645,723367484385
Jun-16-2021,40160.01,40438.51,38188.01,38290.04,64077215237,738603361116
Jun-15-2021,40527.71,41267.29,39656.74,40204.51,72036187548,753254894034
Jun-14-2021,39106.54,40920.03,38785.32,40499.97,76608277490,742966801821
Jun-13-2021,35506.77,39356.80,34842.27,38990.00,57312107534,681338537450
Jun-12-2021,37328.20,37328.20,34749.96,35538.30,63889684892,668970872519
Jun-11-2021,36646.86,37565.99,36061.67,37200.35,65346487154,692821940181
Jun-10-2021,37343.29,38252.79,35840.02,36870.06,79255034405,692715176886
Jun-09-2021,33403.63,37505.99,32431.61,37345.04,72582508402,652523327950
Jun-08-2021,33566.18,33999.96,31221.09,33369.14,67316790680,615422095653
Jun-07-2021,35827.50,36782.91,33550.00,33550.00,51875832505,671980076063
Jun-06-2021,35512.37,36395.12,35300.45,35781.01,54522810549,673081231185
Jun-05-2021,36847.86,37883.49,34920.83,35510.26,60989365547,685053016476
Jun-04-2021,39192.46,39192.46,35779.58,36908.14,67365715556,694379238361
Jun-03-2021,37573.72,39429.13,37258.55,39152.71,58852534940,721335768939
Jun-02-2021,36679.41,38208.61,36035.88,37622.43,65099865344,697910974157
Jun-01-2021,37271.49,37790.24,35743.89,36606.39,67803254598,684853201608
May-31-2021,35634.70,37491.61,34214.45,37303.75,84345634531,676387670384
May-30-2021,34575.84,36310.19,33528.70,35618.16,74745448305,663876381066
May-29-2021,35664.87,37151.66,33662.25,34523.41,78991545500,659570931291
May-28-2021,38453.43,38760.06,34780.97,35670.70,70858555178,684848737522
May-27-2021,39228.18,40249.97,37208.09,38479.69,71587942585,725542174811
May-26-2021,38318.94,40709.59,37953.43,39184.76,75075011442,733964555266
May-25-2021,38695.57,39718.89,36544.91,38165.79,87992997205,711605190044
May-24-2021,34794.27,39670.04,34500.66,38619.40,108924114128,691331455617
May-23-2021,37499.78,38198.16,31282.72,34834.68,86352787200,655319326894
May-22-2021,37222.42,38706.64,35460.72,37555.00,113989186247,701047511242
May-21-2021,40480.23,42023.62,33610.37,37242.94,111544715890,730875968423
May-20-2021,36860.23,42326.97,35183.74,40389.78,189296826007,744282948120
May-19-2021,42853.96,43499.89,31500.00,36974.61,145277986785,730792972234
May-18-2021,43532.31,45697.75,42370.44,43019.77,97378342015,826103820088
May-17-2021,46408.69,46408.69,42289.75,43590.92,113942304202,828487211712
May-16-2021,46770.57,49696.09,44041.16,46395.05,86152547558,892441182838
May-15-2021,49862.09,50567.66,46774.63,46786.61,80418871902,913495927383
May-14-2021,49702.01,51384.65,48900.17,49884.92,104643650677,937878585892
May-13-2021,49776.07,51298.13,47215.48,49655.62,147012793469,931899652928
May-12-2021,56677.85,57885.80,50482.43,50482.43,91534666588,1045391438304
May-11-2021,55805.03,56828.86,54549.93,56721.83,109665832582,1044004192055
May-10-2021,58215.44,59447.87,54598.97,55772.28,97599777791,1079307825851
May-09-2021,58770.01,59112.96,56327.67,58169.73,102692816568,1083790449997
May-08-2021,57336.81,59430.91,57008.19,58711.17,96516445929,1093435833062
May-07-2021,56387.69,58550.19,55406.84,57339.55,96543881309,1061921862762
May-06-2021,57424.97,58305.62,55400.04,56484.49,97608603995,1064446944567
May-05-2021,53233.73,57850.89,53233.73,57338.36,104577993094,1044403338261
May-04-2021,57160.54,57160.54,53300.38,53329.39,104329510589,1033465775784
May-03-2021,56566.43,58895.89,56552.03,57211.41,79856745598,1082878568187
May-02-2021,57794.46,57853.38,56149.04,56563.76,70170320536,1062364792635
May-01-2021,57710.51,58433.61,57105.14,57793.52,84085140058,1079591278281
Apr-30-2021,53548.82,57814.95,53099.40,57758.65,81510348963,1032701217461
Apr-29-2021,54808.96,55158.00,52390.86,53610.43,78228039366,1006900370692
Apr-28-2021,55007.12,56159.31,53877.65,54766.54,79980719165,1023297672247
Apr-27-2021,53993.07,55392.55,53305.02,54924.01,88040474936,1019353281891
Apr-26-2021,49045.57,54229.30,48817.99,53954.41,97639482840,988564795880
Apr-25-2021,50069.19,50471.37,47199.81,48987.68,73945549998,927035095762
Apr-24-2021,51084.10,51084.10,48769.32,50007.72,118673612341,934950269596
Apr-23-2021,51740.15,52049.55,47731.20,51020.04,172670297787,931686556046
Apr-22-2021,53868.59,55331.43,50591.90,51843.68,127377801204,1005208001116
Apr-21-2021,56453.86,56715.89,53714.77,53889.33,114642171909,1035703581382
Apr-20-2021,55653.85,56983.76,53488.26,56363.62,122923034039,1036449270399
Apr-19-2021,56183.52,57424.31,54333.90,55653.24,139509205538,1052425348213
Apr-18-2021,60028.39,60274.64,52569.44,56037.13,185812398998,1045652144528
Apr-17-2021,61342.97,62420.54,59767.22,60078.27,159749829773,1144740077838
Apr-16-2021,63207.09,63493.56,60153.65,61504.77,165610153605,1152385884372
Apr-15-2021,62999.98,63628.83,62090.50,63183.14,169238154522,1174837897129
Apr-14-2021,63545.12,64816.10,61529.32,62628.98,173884088328,1184937003555
Apr-13-2021,59868.27,63720.71,59868.27,63528.48,158430038672,1161411096748
Apr-12-2021,60007.79,61095.01,59586.15,59940.53,100979406141,1123013039967
Apr-11-2021,59716.55,60590.06,59246.50,60018.29,97875436777,1117365110732
Apr-10-2021,58135.35,61210.69,57951.92,59747.44,103026133875,1118708770341
Apr-09-2021,58077.06,58841.41,57722.22,58159.44,77270327842,1087296640270
Apr-08-2021,55872.86,58087.98,55819.74,58019.88,104686589216,1067929892062
Apr-07-2021,57979.30,58627.11,55558.50,56073.47,109029801399,1064137361929
Apr-06-2021,59096.00,59398.74,57599.94,58093.24,104554598226,1091770394391
Apr-05-2021,58197.98,59134.63,56844.95,58777.74,97931171133,1084528725631
Apr-04-2021,57092.45,58412.53,56589.62,58215.19,104713372859,1077506387551
Apr-03-2021,58975.83,59691.00,57022.93,57139.14,91212846892,1100367640720
Apr-02-2021,58727.65,60063.78,58529.50,58963.33,105128774134,1106625591885
Apr-01-2021,58751.79,59319.27,58147.84,58755.62,115654009709,1099175922466
Mar-31-2021,58763.83,59777.71,57447.36,58719.45,102853343111,1095749772784
Mar-30-2021,57612.52,59311.04,57140.70,58693.95,98089413350,1089305782131
Mar-29-2021,55748.63,58339.97,54994.35,57664.85,91499980031,1062399656261
Mar-28-2021,55841.63,56489.17,54850.21,55861.95,82011404714,1042070133008
Mar-27-2021,55008.06,56456.80,54033.57,55917.88,88506866567,1029633507508
Mar-26-2021,51355.70,55002.77,51355.70,55002.77,108542946099,992845345260
Mar-25-2021,52382.80,53139.13,50572.98,51412.19,131460234154,972876679744
Mar-24-2021,54464.94,57028.63,52075.59,52584.79,99933043546,1029272089119
Mar-23-2021,54185.29,55799.02,53214.00,54599.96,109449851793,1020684367090
Mar-22-2021,57384.46,58200.01,53833.72,54249.99,92548643675,1059665036030
Mar-21-2021,58057.69,58549.97,55928.75,57392.21,95572143442,1068857787372
Mar-20-2021,58098.08,59869.85,58016.58,58219.82,87958442364,1096422104536
Mar-19-2021,57666.27,59448.83,56348.06,58091.62,101631795534,1087318165332
Mar-18-2021,58891.03,60024.60,57287.61,57687.52,113184110344,1090993900551
Mar-17-2021,56857.31,58863.68,54376.49,58711.98,103479709534,1047096715188
Mar-16-2021,55571.19,56788.88,53393.03,56456.00,129824122178,1032475724523
Mar-15-2021,59150.40,60550.87,55338.28,55723.95,127943028373,1072861279123
Mar-14-2021,61219.35,61618.00,59380.02,59380.02,122350418659,1127962802204
Mar-13-2021,57250.14,61662.21,56089.27,61298.00,133874862331,1096783082569
Mar-12-2021,57716.88,58031.00,55195.35,57278.16,132357056562,1059963767317
Mar-11-2021,55865.30,58131.34,54483.03,57633.70,138622973048,1049412610454
Mar-10-2021,54854.79,57286.43,53174.38,55998.74,120454358101,1032239421687
Mar-09-2021,52265.02,54839.98,51976.02,54759.46,117158259799,1006047046300
Mar-08-2021,50934.44,52326.86,49375.17,52326.86,101647849696,946662347611
Mar-07-2021,48872.69,51409.23,48872.69,51409.23,86479140579,935917409236
